	Expression1	Expression2
SYNJ2BP	1.1226958	1.214
FURIN	-0.007623464	1.8452001
PFKFB2	-0.10076894	3.5898
TST	2.266049	0.633
GAA	1.8217882	5.05955
PLN	1.4339297	2.3178
CBFB	-1.889202	-1.5799
CYBB	1.2918596	3.44965
PIGA	-0.4240868	0.12120001
GATM	0.019604698	0.18990001
TNFRSF17	-0.033688203	3.1538498
PER1	-0.25682664	0.4634
SCAMP5	2.1906998	6.37505
SEMA3F	0.8025621	3.4380999
CD34	0.6303062	0.80875
FNDC4	-0.4803209	3.70575
XDH	0.8163154	4.01965
HOXB7	0.05822839	-2.0057
GPR65	0.69945306	2.2631001
PIM2	-0.08483562	-0.57265
MED12	2.706565	4.7952
CD47	1.2592092	3.3697
ME3	0.87084174	-1.1808
EXOSC9	-1.3150332	-4.2354
CEBPD	0.19925824	3.03565
GPR20	0.9798342	2.82025
TNFRSF11A	1.2569188	4.6614
SOSTDC1	0.32988602	3.0373
EYA2	-0.8648689	0.05944997
TRIM31	0.96939594	2.36
HOXA1	-2.276842	-0.10110003
GGCX	2.1081119	5.5341
GCH1	-0.8720983	-1.7832501
MPZL1	0.8151361	-6.02565
CASP8	-0.42883077	1.02285
OMD	1.4681292	5.20715
FANCA	-0.76775885	1.62645
RABGGTA	1.5505055	1.4437001
SLC25A11	-0.38560337	-1.7543001
ATP6V1F	1.1301696	2.52005
AQP4	0.05432406	1.8368001
PIR	0.47939426	-1.2818999
NRXN1	0.9602674	1.73185
PRR16	-0.85248816	-0.92945
CSNK1G3	0.28422806	0.49745
PLAGL1	0.3030219	2.7275
KIF16B	-0.67059946	0.039800003
RBPJ	0.090439424	-1.5223501
ABCA7	1.9120978	2.8527
AP3S1	1.9692352	6.4653997
HSPA5	-1.2690282	-1.63485
GIT1	-0.06627841	1.30575
PRKAR1B	-0.2605927	2.2347498
ELMO1	0.59464073	2.6494
HSPB6	0.87227416	5.5685997
ADRB2	-6.2379847	-7.2408
TESK1	0.6549137	3.4062
CHMP4A	-1.6060774	2.48965
CHRDL1	-0.28322035	-2.00715
CYP26B1	0.9603596	-1.0611999
LAPTM5	0.084705964	3.9446502
STRN	0.021984223	2.9857502
HNRNPD	-0.6545783	-3.6822
TFRC	-0.28864697	-0.20715
BST1	1.3724673	4.7068
ERMAP	2.6951091	3.6441
CLU	0.1739479	3.3532
NME6	-0.4820108	0.0905
FOLR2	1.6352541	2.2609
LDOC1	1.7246379	2.362
FHL5	0.2365043	2.9313998
PTGS2	-2.2637136	1.68065
MMS19	0.5564049	2.2969499
MNAT1	-0.23234388	-2.2922502
PPP3R1	-1.7878822	-1.58695
PSMC4	0.77327764	-2.0816
KLF10	-3.822307	-4.7897997
HMCES	-0.7562227	-0.0546
MAPRE2	1.0068734	3.0655499
FUBP1	-0.12830782	2.171
RAP2C	1.7938237	2.8217
RSL24D1	0.65695906	-0.2284
TNIP1	-0.6376251	-1.9602001
PFKFB4	0.053254843	1.95895
FIS1	2.1812627	4.28725
CTNNBIP1	0.5126203	4.7224503
HGF	3.3959038	4.1336
NFKB1	-2.1624522	-2.1359
EIF2S1	0.101041205	-2.6706
CPLX2	1.336603	3.65535
PIK3CG	0.627313	1.02995
CRISP3	-0.9587394	0.8418
NIPBL	-0.5076573	1.32785
ERAP1	3.4600105	7.8618
USP27X	1.144321	3.89455
INPPL1	0.6462785	1.1378
BRINP2	-0.84199023	0.8113
RPS6KA3	0.7080827	-2.0160499
CDKN1A	0.105697095	0.66155
RRAS	1.0057353	-1.8835499
ADIPOQ	0.36659884	2.5777998
RPL17	0.11904976	-1.2894001
HAND2	1.2628465	5.32165
P2RX1	0.5750471	3.026
GADD45G	0.0421149	0.68515
ARHGEF9	1.383437	5.4081
CDH3	0.07442033	0.63625
C3AR1	1.2996384	3.92975
CYP3A5	0.01726377	1.497
MDM2	1.3956132	5.8123
SLC35D1	-1.3054307	1.28985
ENPP2	1.7194958	4.6858
HLA-B	0.66874474	0.8217499
RB1CC1	-1.0804397	0.106249996
ALDH1L1	0.15637374	2.6785
ALOX12	0.9864672	3.64315
MED13	-2.3254938	-0.86399996
DIAPH1	0.6675584	-0.19435
PDE3B	-0.62520206	-2.9709501
CD1D	1.4304186	1.8268
EGR1	1.4854307	3.3352
TP63	-1.6711745	-0.3922
RAB25	0.8061242	3.74395
TSPAN5	1.4564259	1.9618001
CEP290	1.5442251	3.35925
ARPC1B	0.66571945	-0.016049981
ERCC5	1.571193	-1.62315
EEF1E1	0.5054455	2.6178
PFN1	0.0013919473	-1.8287499
SPCS1	0.07864581	-0.71739995
PLPP1	0.8802715	2.14185
ARPC4	0.78283113	-0.41855
RXRB	-1.1086121	0.79905
HLCS	0.40925914	2.00895
SMARCB1	1.5112996	2.17775
CR2	-0.33016628	0.59029996
ZDHHC17	1.6903901	3.4966
CYP3A4	0.89540946	3.41475
BID	1.8010074	5.91625
CHST3	-0.940274	-0.09215
PAPSS1	1.4868929	3.82485
SIRT5	3.3955927	5.9761
PID1	0.64865184	2.1164498
CDC6	-1.3717319	-2.03175
SLC52A1	0.7803344	3.0732
ABR	1.0005431	0.49220008
RHBDF2	-0.64416695	2.8808498
PNPLA4	2.2963762	3.53985
UFC1	1.4964367	3.32445
PPID	1.6862531	0.60325
CSNK2B	3.1653426	4.3380003
TYRO3	0.5442455	1.8599501
GZMA	0.2543239	1.5053
SERP1	0.6638322	2.4645
INSIG1	1.0775474	-0.16079998
CROT	2.2047348	3.38955
ARHGEF3	-1.7266605	-1.93315
EIF2AK3	-2.5883996	-1.92535
DCN	1.433453	5.4835997
LRP3	0.33030912	2.86665
CFH	2.3407888	2.7974
EDNRA	0.8893064	3.39575
INHBA	1.2679276	2.6286502
CDK5RAP2	0.20116466	-0.9022
RND1	-2.7422695	-1.0241001
HMOX2	0.345488	-1.5490999
UBL4A	-0.91283125	-2.38305
SDHAF3	0.31136975	1.49785
TRIM68	-0.5083968	-2.3006
ARNTL2	0.01922245	0.39380002
ADAM22	0.9192586	1.31895
DPEP1	0.62964976	2.9667501
RRP1B	-5.9215384	-7.58605
NR5A2	2.5077956	5.63925
SLCO4C1	0.5927272	-0.67535
SLC12A2	0.050114065	-1.56845
GOLT1B	1.6115916	-0.027700007
PPP3CB	0.87863284	2.8574
APOBEC3G	1.314887	3.2196999
BIRC3	-1.8145955	0.82735
GCKR	1.1386116	4.7371
PPIB	1.4034945	3.7709498
KAT2A	1.1951758	3.06595
AURKA	-2.274382	-6.39475
ARHGAP17	-1.3106515	-3.6472
SEMA6B	0.8606328	3.96665
RPL3	0.2678417	-0.34085
SRGAP2	-0.3122763	0.66445005
IL23A	1.4961553	2.64755
TEAD3	0.5392116	2.4295
PTAFR	1.58156	4.3087997
MFN2	-0.89259857	0.14555
TES	-1.0961918	1.2839
HIF1A	-0.71650213	-1.18495
FTL	-1.6609323	-2.43355
LTF	-1.456684	-2.9091501
SOCS5	-3.363939	-2.2365
PTPRB	1.2689142	6.2842
EDAR	-1.1970811	2.606
RAB3A	-0.6338928	0.7699
AGO1	0.5523427	2.7181
PDK4	0.32065567	2.1965
GATA6	-0.26218534	2.73575
STK17A	-1.2155504	-1.87105
POU3F1	0.13753726	0.7539
CTBP1	-0.26441526	-0.3348
C3	0.22765708	1.54615
PLD3	2.6172304	4.3488503
PRKD3	-1.2305019	0.11944997
HNRNPA2B1	-0.07483418	-1.7681501
DDX11	-0.20924261	0.28509998
PRSS3	-0.16400772	-3.3654
ELF1	-0.30329156	-2.8305001
SFRP5	1.2860641	3.26715
GLIPR1	-0.76205385	0.56125003
ICE2	0.626186	3.9705
MECOM	0.817542	2.21165
PTPN6	2.8353612	1.27335
LRP5	-0.96627915	-1.86795
PRDX3	2.1824057	2.84095
KL	0.70485014	3.4756498
PEX5	1.1004984	0.21749997
LIPG	-1.3873832	-2.6782
CD68	1.702798	4.8012
MSR1	1.2178024	4.5376997
BLVRA	1.7966557	-7.3680496
BRF2	-1.3941046	-1.03215
KYNU	-1.5714908	-3.13475
RLF	-2.5714166	-3.8205
ARFGEF2	-2.1075332	-1.3611
CC2D1A	0.22749236	1.5724
PPP1R13B	1.0986719	6.0621996
FRMPD4	1.3316922	4.7325
RPS5	0.9023909	0.88535005
CBFA2T3	0.7639042	3.1613
EPHA4	0.6183718	3.0623503
LCAT	0.6740061	0.8992
NENF	2.2204978	4.40585
NCK1	-2.7784867	-3.6984
STAT2	2.5235503	3.3657
RRN3	-2.0198767	-0.38315
ANKRD2	1.2838757	1.60035
EGFL7	1.2109339	2.8263
MOCS1	1.8159513	6.6972
ADCY7	0.08070102	1.54145
NOCT	1.497026	4.53275
TTC23	0.2977115	0.7108
RAB11FIP2	1.2458713	1.1779
STX7	1.5344517	2.1894999
GMNN	-2.59016	0.21775
PIEZO1	-1.1076461	-0.28385
DNM2	1.1102569	1.1291001
MDH1	1.6287868	0.05335
HLA-E	0.5682307	2.45855
SCAMP1	2.0701282	3.03735
NEU1	-0.8348905	1.38165
SELE	-0.66238356	1.5043
PMEPA1	-0.37389964	-3.1429
RFTN1	0.56887996	3.7169
HSPD1	2.8694806	2.5333
CANT1	-5.168379	-10.0
KIT	1.5904883	8.1421
PLA2G3	0.8563468	3.6301
BGN	2.3694499	2.8796
BTRC	-0.90186965	0.48910004
MAPKAP1	0.9808415	-0.18994999
THOC5	1.7048938	-0.7316
MGST2	-0.391414	-2.4735
FASN	-0.88137734	0.82935
TRAF3	-1.1755	-1.6534
TFEB	-0.37893158	0.6164
CEBPA	-2.1868546	-0.51225007
LTBR	-1.1708103	-4.76825
NOTCH2	-1.988529	-4.4931
RHCE	2.0943003	6.2054005
ME1	1.5545682	-1.93765
LOX	2.1286688	3.9842
EFNB3	1.3227581	4.11535
IL1RN	-1.8498296	-0.76975
ARF1	-0.90424764	-4.52885
TMF1	-0.29656875	-1.14515
DMD	1.039723	1.3191
FGF2	-0.8683679	2.1348
KRT6A	-0.61851555	-0.4003
CAV1	0.42571002	3.317
ABCB9	-0.47239882	-0.69885004
CHUK	-0.16216859	0.016449988
GTPBP2	1.0495291	4.77745
MEST	0.43975472	2.56755
CTSL	3.3059483	5.518
NLGN1	0.025290936	2.7368002
ALDH4A1	0.21103254	2.6122499
YARS2	-1.0722407	-2.6026502
MYDGF	-0.31796834	0.05404997
MAP4K4	-2.8288293	-7.8720503
SLC25A44	-2.4349449	-6.2715
LIPA	0.9945927	0.27605
CCDC22	1.5574417	-2.20545
CLDN5	1.0630907	3.7745
SYNE2	0.7925977	0.47535
NFX1	-0.61948067	-0.30590004
MSX1	-0.75597346	-1.06995
PRDM10	0.20437291	0.58379996
PSMF1	0.8793417	2.0544
CYP2R1	-0.33033067	1.48955
SMAD6	0.7593749	0.0783
HDAC3	1.8404788	4.61935
SCP2	1.2875756	3.19905
SLC35D2	-0.20833562	-1.46855
MYLK3	1.5508038	4.422
RAB6A	0.32245922	2.2664
SOX10	0.17947133	0.70975
RAD51	-1.383545	0.2886
ATP1B2	1.29742	4.23375
LBP	0.5193585	2.37255
TMEM39A	-1.1304753	0.26995
SLC5A6	-0.8183876	1.62235
GLA	0.9564992	1.7736
DVL3	0.7834493	1.73505
RFX5	-0.6839844	-1.5195
PMVK	0.82020456	-1.4621
MAPK9	1.382287	2.8384
UBE2O	-1.6389073	-0.55885005
DNAJC2	-2.079507	-4.3257
MEIS1	0.7997261	2.8661
BAP1	0.11609535	0.0134
PPP2R5C	0.985361	3.33565
BBC3	0.38336933	-0.56365
CYP7A1	0.6771485	2.31445
KLF7	-0.52460605	3.20965
HP1BP3	1.4270881	2.64565
PRKAA1	-0.02758874	-2.1651
SLC25A37	-1.7559295	-4.2511
SERPINB13	1.8774974	5.6459
NRDC	1.6329348	-2.37225
MCF2L	0.98043233	2.66205
CPNE3	0.6000831	1.28255
NDRG1	0.5346833	-0.46835
MAPK8	0.66076845	3.2638502
THOC1	0.9119934	-1.0597
CDK5RAP3	1.2959658	-1.5103
DUSP12	-1.8777313	-2.00285
PTPRT	0.15305866	4.39945
CHPF	1.4131695	4.3233004
ELAVL1	-0.35170785	-5.6300497
ADPGK	0.043390423	1.9621
GTPBP4	-1.5720989	-2.4326
RNF10	1.094556	-0.45859998
HJURP	-4.836539	-5.4723
POLR2A	-1.2041532	-3.9998
FUT9	1.4559634	3.60305
FADD	-3.2631755	-5.0016
ROBO1	1.6993918	2.8087502
SHB	-0.29213575	3.18155
TPPP	0.45790786	3.2363
PEX2	0.9639815	0.3656
VWA1	0.44790408	2.66135
XPA	1.8609543	-0.025700003
CEPT1	0.84071	-0.4325
ATP6V1C1	0.09523176	0.97025
EEF1D	-0.8712984	-5.00745
NAAA	0.095225565	-0.794
HILPDA	-0.18866126	2.139
AADAC	0.32144853	3.6697
ZEB1	0.09143439	2.8154001
RPL12	-0.46685845	-1.2020999
IL24	-0.09662775	2.5334
PTGDS	-0.10778588	-0.044749998
MICAL2	1.3325465	2.1632
DTX4	-0.2964561	-0.92705
NPEPPS	-0.5957178	-5.8733997
VPS13C	0.32600895	1.11185
KANK2	-0.69329005	-4.5629
PIAS1	-1.2742516	-0.2684
ATP13A2	0.7073056	0.58105004
ZFP36L2	-1.8236871	-0.7668
RBBP7	0.72720385	-3.2676
GABRG2	0.22430329	3.88545
SIRPA	-0.09682998	0.28260002
SLC35F6	1.8522606	2.78305
EFNB1	0.48504376	1.5794001
TMEM176A	0.6739619	2.79495
CRTC3	-2.037289	-2.8325999
SETX	0.17717563	1.64025
SNCA	2.6059866	7.9747
PLA2G7	0.45231584	3.2540998
TINF2	-1.0222967	-1.79915
CASP3	-1.4616826	-0.95645
KLF2	-1.2789	-2.3459
YIF1A	1.3532635	-1.27355
MELK	-2.8433704	-4.53205
MMP15	1.5988584	3.8687
TRIO	-1.7243502	-0.18315
MINPP1	1.6505306	2.7932
TP53BP2	-3.6019762	-1.68765
CHRNA10	1.8730735	6.6431503
PSRC1	-2.5230944	2.2194
CNOT6	0.13970864	0.7352
ASB1	-0.35842574	1.6844499
TFPT	0.6592632	-1.63975
FOXE1	0.59845126	2.3734498
KAT6A	-3.9540453	-6.86835
TRIM44	-1.836352	-2.6297998
CCT6A	0.55977505	-2.0753999
LCMT1	1.244721	0.63975
ACVRL1	2.318406	6.5603
PEG3	0.39656153	3.8182
TFDP2	1.9637065	3.8530998
RPS25	0.6520789	0.3268
RANBP9	0.7502549	3.9547
BRD1	-1.6896881	0.020950079
CYP4F12	0.87870955	0.86085
METTL16	0.758826	2.5369
SMARCC2	-0.83670056	-1.28265
RBCK1	1.4375017	1.7193501
RAPGEF4	1.3702172	4.70965
ECI2	-0.66207004	-3.02265
HDAC2	0.045317635	-2.2993999
ASNS	1.5616839	2.5221
EPHX1	0.18576114	1.4501
SRD5A1	0.33211198	1.9670501
EIF2B5	-0.4924257	-3.2438998
ANAPC2	-0.19212908	-1.8482001
NSD1	-1.0442657	0.32735002
MYBL2	1.2582995	-1.3840499
GNL3	-1.543408	-5.92795
TRIM21	0.8418474	1.3893
MYD88	-1.1463625	-1.3757501
IL20RA	0.0011214316	2.6189
DNAJA3	0.019651175	1.6636
TBRG4	-1.6236413	-3.1887
ARSA	1.8362086	5.2591
MEF2D	0.31224924	1.4182999
WAC	-2.428043	-3.93145
NGF	0.5564965	1.6250501
ARPC1A	1.2930112	1.60695
ZFPM2	2.5173037	5.2974997
SPG7	-0.6892891	-0.0492
CNOT7	-1.0943677	-3.1251998
TLR4	2.1198192	1.6544499
GAD1	0.66731304	2.50075
KLF5	-0.44489545	0.3707
ATP8B4	1.1368666	2.1651
PLA2G4C	1.4487716	4.31855
LYN	0.7787305	2.9673
EGFR	-0.20111084	-3.25465
FPR3	1.780754	6.10115
ADD1	0.7423662	1.07655
VHL	1.049263	4.24995
DDX60	2.2993345	4.57365
ELF3	-0.54192007	0.79605
MFF	1.0655794	0.44259998
LTB4R	1.4321142	0.8259
MFGE8	2.1414297	2.1931
CCR5	1.3503237	3.81395
GAB2	1.722153	2.9198
DERL2	0.07593058	-0.14550003
ADAM10	1.2230939	-0.37159997
ILVBL	0.69721717	0.7738
GALK1	2.0654294	0.26309997
SEMA3C	2.689601	5.1244497
SLC35A1	0.47689706	2.8710501
GAS2L1	-0.5944753	-3.1028
ABHD3	0.6076389	1.85095
ROCK1	0.10748279	1.86645
GAS6	2.1860569	3.00015
CTSC	1.0161136	0.96285003
IRAK4	3.71118	6.06215
RFXAP	0.16667826	1.19455
TNS2	1.0043151	0.37225
TIMP2	2.2164168	3.8585
ACOX1	0.5975455	0.52565
HSP90AB1	-0.65770525	-3.5986
MBTPS2	2.287335	2.86425
PLAG1	0.0705207	0.73020005
CDK8	-0.6587357	-0.9887999
PLA2G5	0.4429801	1.8396001
PLXNA2	-0.3551736	1.6836
PTGFR	1.1926266	-1.7507
JAM2	-0.33582485	3.52405
IRF6	-0.16675098	3.9700499
MLEC	-0.9622836	-3.55245
ADAMTS9	-0.8157911	3.8046498
LILRA4	1.4454372	5.11275
CD247	1.0088283	4.47655
KITLG	1.0108181	5.5174
INSL3	-0.2344599	-0.59745
RAB33B	0.4473058	2.95225
STAMBP	1.6524081	-0.65735
NFATC4	1.6270006	7.7142
RACK1	-0.4640484	-2.20865
NFATC2IP	0.35453585	2.24145
UPF3B	0.25701213	-0.0029500127
MNT	-0.6938763	-3.2951
SOX2	2.5352583	7.07725
FERMT2	-0.7935364	-3.2674499
YTHDF1	-4.539032	-6.76425
ENSA	-0.32341465	2.3484
IGFBP5	2.31664	4.1866503
RNF31	-0.14053048	1.1667501
DLGAP5	-2.4587545	-6.44275
PGF	-0.048967123	-0.1893
DUSP26	0.1837225	3.1966
DHRS11	1.3901185	2.5918999
SCAP	0.3090236	0.078449994
FZR1	-0.7843667	-0.96795
HSD17B8	1.8672594	1.3395
POGLUT1	1.0700471	5.4424496
SLC25A24	0.3986127	2.8239498
MAP3K13	-0.8608504	2.4766
AIF1	2.101166	4.1961
ENO3	0.9005807	1.54975
TNC	-0.35873058	-3.7061
FKBP1A	-0.2770037	0.67815
WIPI2	0.21702954	1.4495
LPIN1	-0.75466704	-2.1696
E2F3	-1.4255743	0.62875
CTR9	0.442453	-3.67865
MT3	0.44353983	3.0332499
UBE2L6	1.6810635	4.3575
INHBB	0.28488827	0.3838
GPR183	1.602577	4.0134497
HACD2	1.1658323	0.77465
CCNT1	-0.9740156	-1.6017001
RPL7	-0.4430281	0.075150006
PSME2	2.7493606	2.26465
DLG3	2.021934	4.59935
GFAP	0.9430404	3.20935
RBM23	-0.68586576	-3.8962498
BLVRB	1.9630225	2.56835
DAG1	2.0007644	-5.37675
SLC6A9	0.9471956	4.98695
GPX2	-0.8293179	-1.8855
ADAM19	1.09883	3.01335
BMP5	0.58308727	4.01635
PPP2R1A	0.50213474	-1.5227499
EIF3D	1.1218622	-1.7379
HSD17B2	-0.33607823	-0.656
UBE2A	3.883685	2.6725998
SMPD2	1.441004	1.97075
RBM5	-0.28596315	0.6344
ATP1A1	-1.4003273	-4.22985
GDI1	1.2430878	4.9292
WWC1	-0.7985709	-1.34025
TNFSF14	1.4468589	4.35695
HNMT	0.06458744	1.84325
SLC8A1	1.623622	4.6976004
CRLF1	1.3732891	2.05575
SOCS2	-0.14270392	4.1579
SMO	1.573653	6.5769997
DHCR24	1.6029408	2.11645
SMYD5	0.09726732	-0.97045004
FERMT1	-1.050978	-1.60755
POLR2H	-0.61694765	-2.9947
OTUD4	-3.3526268	-3.8913
TRIM8	0.10885823	-2.4308999
EZH2	0.45308846	-4.45345
IFI6	2.3357654	3.66035
PLXNB1	2.4634876	5.4757004
HIGD2A	0.26816198	-0.27059996
ZNF609	-0.23504035	2.8552
CLN5	1.1899309	0.5417
LY9	0.5908627	2.3307
ACP5	1.4306643	4.60255
VAV2	0.2717122	3.71355
GGA2	-0.47887647	0.92435
PCLO	0.45413357	4.0334997
NR2E1	1.517134	6.16755
GSTM5	0.6394114	1.5402999
DPF2	-2.995695	-5.6721
CRTC1	1.1987567	3.72385
RNF6	-1.323206	-2.61425
APOE	3.192416	9.52715
ITM2B	1.8949803	4.69095
MMADHC	1.2891161	0.32964998
INSM1	1.2190397	5.20275
ATP6V0A1	0.25778395	1.6662999
RNASET2	-1.368037	-1.28195
RELN	0.26063105	0.2976
VIPR1	-0.18587974	2.6265001
DNM1L	1.5820407	2.2724
EBI3	-0.5462189	0.22075003
UBB	0.8817589	1.8374
ME2	2.4068744	3.42065
RAP2A	0.51305646	0.57289994
RPS23	0.3665979	-1.5871999
ZNF423	1.0590296	3.4932
IDE	2.8623025	2.75605
SLIT3	0.7875428	2.50055
ST8SIA4	1.5207081	1.6791999
BAG3	-6.5099483	-10.0
LATS1	0.9754112	4.59815
BEX1	0.15148342	1.75285
DBF4B	0.8896122	4.7959003
YME1L1	1.9428105	3.7412
THRAP3	1.880371	-0.39529997
RPL41	0.3077696	-1.43565
SERPINB2	-1.9339659	-0.12309998
STAC	-0.032932222	1.00045
PLCG2	2.0276918	3.1430001
CXCR2	-0.1784926	-0.20625
RAB26	0.07927014	0.48545
CALCRL	1.7420671	4.44455
DDIT4	-4.4966993	-2.6012
CCR7	-0.4420243	-0.19975
HK1	-0.6937648	-1.6951499
HNRNPAB	-0.45986632	-1.2419
ZNF175	-0.49079254	0.019250035
SDC1	-1.9686687	1.38345
ZPR1	0.49854285	-0.68095
TAF1A	-1.5680975	-0.5877
COL5A2	2.0278966	4.7227
S100B	-0.08804776	-1.4267
REL	-1.3353615	2.63395
C2CD5	0.95685863	-4.61535
TLR2	-0.033654604	-0.51615
SGCG	0.51306117	2.1954498
LBH	1.9334652	2.8898501
SIX2	-3.3278985	-3.73045
RPL37A	0.33565652	-1.2994
EDN3	1.0276432	1.24765
ATAD2B	-2.640464	-0.27324998
ARHGAP10	0.90989286	0.47890002
LIAS	3.0316055	3.8252
SERPINA1	1.2140183	3.3761
CSF1	-0.0010712594	4.6157503
BRPF1	-5.4262853	-7.2086
HLA-DQB2	1.1480287	2.8264
SYT1	0.7972771	0.1646
HSD17B3	0.5802767	0.0042500496
ANGPTL4	0.18889402	1.04205
GLUD2	3.0014098	5.4519997
F8	1.9142299	2.11655
NKRF	-1.1129792	-2.04925
SFRP4	0.92886597	4.6256504
SLC15A2	-0.46140838	-1.99105
MAPK3	1.6161788	1.46015
SEMA3G	1.0365946	1.5750501
IL1RL2	0.95892286	4.6764
TNFRSF4	0.8657101	2.9495
SLC2A5	0.22770374	2.1115499
RWDD3	0.60986733	0.51455
TAC1	-0.7405729	-0.60655
CLEC4A	1.5785007	4.23105
TNFRSF10D	1.6005229	2.37355
TOM1	0.34449312	-1.1889501
MTSS1	-0.4265866	0.4419
RPSA	0.64071286	-1.3849
KLHDC10	-1.2356335	1.10925
CADM4	0.84790224	4.80515
ATF2	-0.5012392	1.7284501
CTLA4	1.0388749	4.7445
LIMK2	0.6947027	2.42665
GTF2F2	0.9167412	1.7300999
BUD31	0.7922285	0.06189996
FZD3	1.3377857	4.8273497
ATF4	0.2565373	-0.55725
BRCA2	0.2288287	1.84635
CSF2	0.0491241	0.73865
MICB	-0.20651813	-0.30434996
PRODH2	1.8758603	5.06985
ZEB2	-0.2098061	-0.41234997
NET1	-5.8061576	-7.50315
SOCS1	-0.48085517	0.64425
BCL2L11	0.45522386	2.18645
RAD1	0.028842986	1.15595
DAPK1	0.07483068	0.10775
ADCY3	-0.59635496	-1.05435
RNF139	-3.057394	-4.7298
ID2	4.3489256	-3.46405
NMI	0.37518528	-2.72175
KRT16	-1.0531663	-0.83785
RPL27	0.72616065	-0.7092
KANK1	-2.1247246	0.20335
LIMS2	1.8151784	4.21845
BAIAP2	-2.2139306	-1.27375
ALOX5	0.27348608	4.53685
RCN1	0.097092986	-2.86775
TGM1	0.51307446	2.54825
PYGL	0.52112114	0.47205007
FLI1	1.5953665	1.6637499
PSME3	-1.4776797	-4.45635
PDPK1	-1.8312877	1.0704501
P2RY1	-0.008412868	0.89705
STARD3	0.5502428	-0.80174994
MYH9	1.2929597	1.5614
ILF2	-0.64077294	-0.34655
HYI	1.5853746	2.31565
POLR2D	-1.6007688	-4.1109
IL36G	0.38128912	1.7538501
SLC22A3	-1.4958279	-3.5009499
CUL4B	1.0179514	0.46195
GPATCH3	-1.7539277	0.00029999018
MARK2	-2.5131452	-0.90375
CNN1	-0.04180008	-0.15485
MLLT11	-3.307442	-2.417
GNAI2	1.3478279	3.36695
ATG7	0.56713885	0.96955
SCARB1	0.7329065	2.43125
PSME1	1.4833028	4.0305
MSRA	-0.5038447	-0.10435009
JUND	-0.9765835	-0.66480005
DDO	1.3563923	2.99405
LMO1	1.0064503	4.049
PPP2R5A	-0.1352194	0.14115
EPPK1	0.8010069	1.55535
PLP1	0.5472634	-0.006799996
LIF	-2.0404925	-0.44079995
ALAS1	-2.6606717	-0.93945
TNFRSF11B	0.33059913	-0.18765001
PERP	0.2894873	2.9632
IFIT1	1.0234733	2.404
STAT1	0.8091195	0.90804994
ARHGEF1	-0.09940323	-1.2616
ATR	-0.29741952	-1.72615
PSMA7	0.10412994	-0.8685
HMGB1	1.6819204	0.78125
ABCG2	1.1494448	1.6724501
TCF7L2	-0.8503535	-1.1241499
CDKN2A	2.5316098	4.71905
MCTS1	1.8207083	1.33745
APEX1	-1.2657678	-6.2402
MAPK7	-0.5334861	1.2170999
CD46	-0.3795945	1.6786001
CDK7	-4.431923	-5.8301
PPP1R16B	1.0961376	3.34545
CCT4	-0.36646968	-5.2768497
MAP2	1.7290006	5.92305
ALOXE3	0.5299889	4.76895
ABHD5	-0.22987309	-0.35015
POLR3B	-0.30247998	-0.11765
P3H1	1.385461	0.98590004
CCND2	0.8244864	2.9197998
RSF1	0.4491986	4.0116
CDC37L1	-1.1688356	-0.28305
BAD	0.22872719	-0.54265
CGRRF1	-2.4626966	-10.0
PNPLA2	1.6720885	2.1880999
L2HGDH	1.7969542	4.35295
COMMD9	0.2565891	-2.5343
GSPT1	-1.2871741	-1.70065
NUDT6	1.2421587	0.59185004
UCN	0.3461856	2.44305
FSTL3	-0.82597256	-1.9763501
PLA2R1	0.8996114	4.6995497
ZBTB17	-0.39231467	3.4007
IL7	1.2150186	4.9037
TGFBR3	-1.3249094	-1.2563
JCHAIN	-0.44434112	2.3099
PC	-0.69446135	-1.8445
GGT5	1.4422317	1.3563
CREB5	0.11510867	2.5605
BCL2A1	-1.3734069	-2.09945
NTF3	0.6699452	5.5069504
LDLRAP1	-1.4103534	-2.3866
GUSB	1.3176136	4.59705
ACAN	0.9909474	2.6438
MSH2	0.390734	1.28115
KTN1	-0.6759388	-1.1715
IL10	1.604287	3.7262502
HIC1	1.2356325	3.7163
PKP3	-0.53848684	-2.1351
DKC1	-0.31816804	-2.29075
CASP2	-1.5450777	-3.4805999
CDC123	-0.95754004	-4.9313
TCF3	0.023077816	1.1561
LAMB1	0.8416537	1.0176
TMED9	0.69386655	1.0961
MED21	-1.1292155	-2.41815
KCNMB2	2.9313874	6.9509497
SMARCC1	0.36784908	-0.85899997
SLC19A2	-1.6919972	-1.0501
PRKCD	-2.3044753	-7.9283
SLA	-0.54765034	0.29735005
CHEK2	0.8316026	-7.0964003
ELK1	-0.9857691	-3.4141998
TAF6	0.47666866	0.67805
MAPK8IP3	-0.27024198	-0.6828
CHP1	2.5907617	1.2465
FXR1	0.35314816	-2.4691
CDC20	-1.1128641	-10.0
UBTF	-0.47653812	-2.39635
RAB1A	-1.0463195	-1.9939
PJA2	0.1411354	-0.35665
SERPINB9	0.10926706	-1.06195
PACSIN3	0.39050946	-4.2462
ATP11B	1.0645387	4.57175
CD180	0.43114033	2.5464
RPS6KA6	2.3380635	6.26725
MYBL1	-1.2742974	1.8448501
GSTZ1	2.7268693	0.7974
PIK3CB	-0.95661706	-0.67190003
RIT2	1.3509067	3.0976
CALM3	1.6397662	3.4387
